Timestamp,What is your age?,"
What is your gender ?",What is your education level ?,How many hours per day do you spend on social media?,Which social media platforms do you use the most? (Select all that apply),How often do you feel stressed or overwhelmed by content on social media?,How many hours of sleep do you typically get on a weeknight?,Do you use social media within an hour before going to bed?,How often do you experience difficulty falling asleep due to social media use?,"On a scale of 1-5, how would you rate the quality of your sleep?","On a scale of 1-5, how much do you agree with the following statement: ""Social media negatively impacts my mental health.""?",Which of the following mental health issues do you think are exacerbated by your social media use? (Select all that apply),"What changes, if any, have you made to your social media habits to improve your mental health or sleep quality?","In your own words, describe any positive or negative impacts that social media has had on your mental health."
5/18/2024 1:18:55,18-20,Female,Undergraduate,8 hours or above,"Instagram, Twitter, Whatsapp",Sometimes,6-7 hours,Always,Sometimes,3 (Average),3 (Neutral),Stress,not made any changes,
5/18/2024 2:00:33,21-23,Male,Undergraduate,2-4 hours,"Instagram, Whatsapp, Youtube",Sometimes,Less than 5 hours,Always,Sometimes,3 (Average),5 (Strongly Agree),"Anxiety, Depression, Stress, Loneliness, Low self-esteem",Not made any changes,
5/18/2024 2:01:27,21-23,Female,Undergraduate,2-4 hours,"Instagram, Whatsapp, Snapchat, Youtube",Sometimes,5-6 hours,Always,Sometimes,5 (Excellent),2 (Disagree),None,Not made any changes,Made me more aware about mental health and new studies. Keeps me updated which makes me feel confident and knowledgeable which eventually keeps me happy but at times when I read comments or see shitass trends or humour that are utterly disgusting it kinda makes me sad. Basically it plays with human emotions and regulations one moment you are crying watching a puppy video next moment you are laughing watching some blooper scenes.
5/18/2024 2:06:28,18-20,Male,Undergraduate,4-6 hours,"Instagram, Youtube",Often,6-7 hours,Always,Often,3 (Average),4 (Agree),"Anxiety, Stress, Low self-esteem","Reduced overall usage, Avoided social media before bed",
5/18/2024 2:10:28,27-29,Male,Postgraduate,4-6 hours,"Instagram, Twitter, Whatsapp, Snapchat, Youtube, LinkedIn",Rarely,7-8 hours,Always,Sometimes,4 (Good),3 (Neutral),Depression,Not made any changes,
5/18/2024 2:16:43,18-20,Female,Undergraduate,4-6 hours,"Instagram, Whatsapp, Snapchat, Youtube",Never,7-8 hours,Often,Never,2 (Poor),4 (Agree),"Anxiety, Stress, Low self-esteem","Reduced overall usage, Avoided social media before bed, Used apps to limit usage",
5/18/2024 2:35:07,21-23,Male,Undergraduate,1-2 hours,"Instagram, Whatsapp, Other (please specify)",Rarely,6-7 hours,Rarely,Never,4 (Good),3 (Neutral),Loneliness,Used apps to limit usage,
5/18/2024 3:12:39,18-20,Male,Undergraduate,2-4 hours,"Instagram, Whatsapp, Snapchat",Rarely,6-7 hours,Always,Often,3 (Average),5 (Strongly Agree),"Anxiety, Depression, Stress, Loneliness, Low self-esteem",Reduced overall usage,
5/18/2024 3:35:30,21-23,Female,Undergraduate,6-8 hours,Instagram,Sometimes,7-8 hours,Always,Rarely,4 (Good),4 (Agree),"Anxiety, Depression, Stress, Low self-esteem",Used apps to limit usage,
5/18/2024 5:39:17,21-23,Male,Graduate,2-4 hours,"Instagram, Whatsapp, Snapchat, Youtube",Sometimes,5-6 hours,Always,Always,4 (Good),3 (Neutral),"Stress, Loneliness",Set specific times for social media use,
5/18/2024 7:54:59,18-20,Male,Graduate,1-2 hours,"Whatsapp, LinkedIn",Rarely,6-7 hours,Often,Rarely,4 (Good),3 (Neutral),None,Reduced overall usage,
5/18/2024 7:57:26,21-23,Female,Undergraduate,1-2 hours,Other (please specify),Sometimes,5-6 hours,Rarely,Never,4 (Good),3 (Neutral),"Stress, Loneliness, Low self-esteem",Reduced overall usage,
5/18/2024 8:16:21,21-23,Male,Graduate,2-4 hours,Instagram,Sometimes,5-6 hours,Always,Always,2 (Poor),4 (Agree),"Anxiety, Stress, Loneliness, Low self-esteem",Set specific times for social media use,
5/18/2024 9:00:00,21-23,Male,Undergraduate,4-6 hours,"Instagram, Twitter",Rarely,6-7 hours,Always,Rarely,4 (Good),3 (Neutral),None,Not made any changes,It all depends on what type of content you consume. If you consume pathetic content you'll be pathetic. 
5/18/2024 9:14:41,21-23,Female,Undergraduate,Less than 1 hour,"Instagram, Twitter, Whatsapp, Youtube, LinkedIn",Rarely,More than 8 hours,Sometimes,Rarely,4 (Good),5 (Strongly Agree),Low self-esteem,"Reduced overall usage, Set specific times for social media use, Avoided social media before bed",
5/18/2024 9:39:16,18-20,Male,Undergraduate,2-4 hours,"Instagram, Whatsapp, Youtube, LinkedIn",Rarely,6-7 hours,Always,Never,4 (Good),3 (Neutral),"Anxiety, Depression, Loneliness, Low self-esteem","Set specific times for social media use, Avoided social media before bed",
5/18/2024 10:38:34,21-23,Male,Graduate,2-4 hours,"Instagram, Twitter, Whatsapp",Rarely,7-8 hours,Always,Rarely,4 (Good),2 (Disagree),Loneliness,Not made any changes,
5/18/2024 10:53:27,18-20,Female,Undergraduate,1-2 hours,Whatsapp,Sometimes,5-6 hours,Always,Rarely,3 (Average),2 (Disagree),Low self-esteem,Avoided social media before bed,
5/18/2024 11:57:56,21-23,Male,Undergraduate,1-2 hours,"Instagram, Whatsapp, Youtube, LinkedIn",Sometimes,Less than 5 hours,Rarely,Never,3 (Average),4 (Agree),"Anxiety, Depression, Stress",Not made any changes,"Positive-> Got friends to connect with, which helps to reduce stress when overwhelmed with studies.
Negative -> Sometime excess use creates a sense of wasting crucial time, which creates pressure."
5/18/2024 12:20:19,21-23,Male,Undergraduate,2-4 hours,"Instagram, Whatsapp, LinkedIn",Sometimes,5-6 hours,Always,Sometimes,3 (Average),4 (Agree),"Anxiety, Loneliness, Low self-esteem",Not made any changes,
5/18/2024 12:38:07,18-20,Male,Undergraduate,1-2 hours,"Instagram, Twitter, Whatsapp, Youtube, LinkedIn",Never,6-7 hours,Often,Never,4 (Good),3 (Neutral),Loneliness,Used apps to limit usage,
5/18/2024 12:46:37,21-23,Male,Undergraduate,2-4 hours,"Instagram, Whatsapp, Youtube",Sometimes,6-7 hours,Often,Sometimes,4 (Good),4 (Agree),"Stress, Loneliness, Low self-esteem","Reduced overall usage, Avoided social media before bed",
5/18/2024 13:12:36,18-20,Male,Other (please specify),6-8 hours,"Instagram, Youtube",Often,More than 8 hours,Always,Always,2 (Poor),5 (Strongly Agree),"Anxiety, Depression, Stress, Loneliness, Low self-esteem",Not made any changes,It is destroyed my career 
5/18/2024 13:12:52,21-23,Male,Undergraduate,Less than 1 hour,Instagram,Never,6-7 hours,Rarely,Never,5 (Excellent),4 (Agree),Loneliness,Used apps to limit usage,
5/18/2024 13:15:25,18-20,Male,Undergraduate,2-4 hours,"Instagram, Whatsapp, Snapchat, Youtube, LinkedIn",Sometimes,7-8 hours,Always,Sometimes,5 (Excellent),3 (Neutral),Other,"Reduced overall usage, ",
5/18/2024 13:16:30,21-23,Female,Postgraduate,Less than 1 hour,"Whatsapp, Youtube, LinkedIn",Sometimes,6-7 hours,Always,Often,3 (Average),3 (Neutral),"Anxiety, Loneliness, Low self-esteem",Not made any changes,"Not on mental health, but a little bit on physical health "
5/18/2024 13:22:59,21-23,Male,Undergraduate,2-4 hours,"Whatsapp, Youtube, Facebook",Never,More than 8 hours,Always,Never,4 (Good),3 (Neutral),None,Set specific times for social media use,
5/18/2024 13:23:43,18-20,Female,Undergraduate,2-4 hours,"Instagram, Whatsapp",Sometimes,Less than 5 hours,Often,Sometimes,2 (Poor),2 (Disagree),"Depression, Stress","Set specific times for social media use, Avoided social media before bed",
5/18/2024 13:26:43,27-29,Female,Postgraduate,1-2 hours,"Instagram, Whatsapp, LinkedIn",Never,6-7 hours,Sometimes,Sometimes,4 (Good),4 (Agree),Anxiety,Set specific times for social media use,Screen time is bad for eyes and so. And it wastes our time also in which we can do productive things and work beneficial for career. 
5/18/2024 13:28:14,18-20,Male,Undergraduate,1-2 hours,"Instagram, Twitter, Whatsapp, Snapchat, Youtube, LinkedIn",Sometimes,6-7 hours,Always,Often,3 (Average),3 (Neutral),"Anxiety, Depression, Stress, Loneliness","Reduced overall usage, Set specific times for social media use, Avoided social media before bed, Used apps to limit usage",
5/18/2024 13:35:13,21-23,Male,Graduate,1-2 hours,"Instagram, Whatsapp, LinkedIn",Rarely,5-6 hours,Always,Rarely,2 (Poor),4 (Agree),Other,Used apps to limit usage,
5/18/2024 13:51:27,21-23,Male,Undergraduate,2-4 hours,"Instagram, Twitter, Whatsapp, Youtube",Sometimes,5-6 hours,Often,Sometimes,4 (Good),4 (Agree),"Anxiety, Depression, Stress, Loneliness, Low self-esteem, Other",Used apps to limit usage,"While it let's me connect with others around me or far away from me , it has left a huge impact and sense of missing out on many events "
5/18/2024 14:00:35,21-23,Prefer not to say,Undergraduate,8 hours or above,"Instagram, Youtube",Never,Less than 5 hours,Always,Often,5 (Excellent),4 (Agree),Loneliness,Used apps to limit usage,Loss of attention 
5/18/2024 14:01:36,21-23,Female,Undergraduate,2-4 hours,"Instagram, Whatsapp, Facebook, LinkedIn",Sometimes,7-8 hours,Rarely,Rarely,4 (Good),4 (Agree),"Anxiety, Loneliness, Low self-esteem","Set specific times for social media use, Avoided social media before bed, Used apps to limit usage","Gives platform to interact
Can make people paranoid "
5/18/2024 14:01:58,18-20,Female,Undergraduate,4-6 hours,"Instagram, Whatsapp",Rarely,5-6 hours,Always,Never,4 (Good),2 (Disagree),"Anxiety, Loneliness, Low self-esteem","Reduced overall usage, Avoided social media before bed",
5/18/2024 14:03:23,21-23,Female,Undergraduate,2-4 hours,"Instagram, Whatsapp, Youtube",Sometimes,6-7 hours,Always,Rarely,4 (Good),4 (Agree),"Anxiety, Depression, Stress, Loneliness",Not made any changes,
5/18/2024 14:09:23,21-23,Female,High School,4-6 hours,"Instagram, Twitter, Whatsapp",Often,6-7 hours,Always,Rarely,3 (Average),4 (Agree),"Stress, Loneliness, Low self-esteem",Used apps to limit usage,
5/18/2024 14:18:03,21-23,Male,Graduate,1-2 hours,"Instagram, Twitter, Whatsapp, Youtube, LinkedIn",Sometimes,6-7 hours,Sometimes,Never,4 (Good),3 (Neutral),"Anxiety, Stress",Reduced overall usage,
5/18/2024 14:19:19,27-29,Female,Other (please specify),2-4 hours,"Whatsapp, Youtube, Facebook, Other (please specify)",Rarely,7-8 hours,Rarely,Sometimes,5 (Excellent),3 (Neutral),None,Not made any changes,Motivational speech or thoughts is very useful for our mental health so according to me social media is good platform to find a solution of our problems and mental peace.
5/18/2024 14:30:04,18-20,Female,Undergraduate,2-4 hours,"Instagram, Whatsapp, Snapchat, Youtube",Rarely,5-6 hours,Often,Rarely,3 (Average),3 (Neutral),Other,"Reduced overall usage, Used apps to limit usage",
5/18/2024 14:32:35,18-20,Male,Undergraduate,2-4 hours,Instagram,Sometimes,5-6 hours,Always,Always,3 (Average),4 (Agree),Loneliness,Reduced overall usage,Social media completely distract to do something important 
5/18/2024 14:32:36,21-23,Male,Undergraduate,4-6 hours,"Instagram, Twitter, Whatsapp, Snapchat, Youtube, LinkedIn",Always,5-6 hours,Always,Often,3 (Average),5 (Strongly Agree),None,Reduced overall usage,
5/18/2024 14:35:18,18-20,Male,Undergraduate,4-6 hours,"Instagram, Youtube",Always,6-7 hours,Always,Sometimes,2 (Poor),5 (Strongly Agree),"Stress, Loneliness, Low self-esteem",Avoided social media before bed,It makes you feel ungrateful and small. You can’t appreciate yourself. 
5/18/2024 14:35:49,18-20,Female,Undergraduate,4-6 hours,"Instagram, Snapchat",Sometimes,5-6 hours,Always,Sometimes,4 (Good),3 (Neutral),Anxiety,Avoided social media before bed,
5/18/2024 14:36:54,18-20,Female,Undergraduate,2-4 hours,"Instagram, Whatsapp",Sometimes,5-6 hours,Often,Never,4 (Good),4 (Agree),"Anxiety, Low self-esteem","Reduced overall usage, Used apps to limit usage",
5/18/2024 14:37:42,18-20,Male,Undergraduate,1-2 hours,"Whatsapp, Youtube",Rarely,5-6 hours,Always,Sometimes,4 (Good),4 (Agree),"Stress, Loneliness, Low self-esteem","Reduced overall usage, Set specific times for social media use","Personal gyaan
Quality of Content = Reason of positivityaa "
5/18/2024 14:37:47,21-23,Male,Graduate,4-6 hours,"Instagram, Twitter",Rarely,7-8 hours,Always,Sometimes,3 (Average),3 (Neutral),"Stress, Low self-esteem","Reduced overall usage, Not made any changes","sometimes social media gives us the stress that no other can. i would say reduce the usage of it and skip the certain topics that triggers your mental health, might help "
5/18/2024 14:38:31,18-20,Female,Undergraduate,1-2 hours,"Instagram, Whatsapp, Snapchat, Youtube",Often,Less than 5 hours,Often,Often,3 (Average),5 (Strongly Agree),"Anxiety, Stress, Loneliness",Avoided social media before bed,
5/18/2024 14:51:43,21-23,Male,Postgraduate,2-4 hours,"Instagram, Whatsapp",Rarely,6-7 hours,Always,Sometimes,5 (Excellent),4 (Agree),Anxiety,Set specific times for social media use,Negative impact like time waste most of the time
5/18/2024 14:56:14,18-20,Female,Undergraduate,6-8 hours,"Instagram, Whatsapp, Snapchat, LinkedIn",Never,6-7 hours,Often,Never,4 (Good),1 (Strongly Disagree),None,"Reduced overall usage, Used apps to limit usage",
5/18/2024 14:58:53,21-23,Male,Undergraduate,2-4 hours,"Instagram, Whatsapp",Never,7-8 hours,Always,Often,4 (Good),3 (Neutral),"Loneliness, Low self-esteem","Reduced overall usage, Avoided social media before bed, Used apps to limit usage",
5/18/2024 15:36:09,21-23,Male,Graduate,1-2 hours,"Instagram, Twitter",Often,5-6 hours,Often,Often,2 (Poor),5 (Strongly Agree),"Depression, Loneliness",Reduced overall usage,
5/18/2024 15:36:34,18-20,Male,High School,6-8 hours,"Instagram, Twitter, Snapchat, Youtube",Sometimes,7-8 hours,Often,Sometimes,4 (Good),3 (Neutral),"Anxiety, Stress, Loneliness","Reduced overall usage, Set specific times for social media use",
5/18/2024 15:59:51,18-20,Male,High School,2-4 hours,"Instagram, Twitter, Whatsapp",Rarely,7-8 hours,Always,Rarely,4 (Good),5 (Strongly Agree),"Loneliness, Low self-esteem",Reduced overall usage,
5/18/2024 16:09:12,18-20,Male,Undergraduate,2-4 hours,"Instagram, Whatsapp, Youtube",Never,6-7 hours,Often,Never,4 (Good),3 (Neutral),None,Used apps to limit usage,
5/18/2024 16:22:04,21-23,Male,Undergraduate,4-6 hours,Instagram,Sometimes,7-8 hours,Sometimes,Never,4 (Good),3 (Neutral),None,Set specific times for social media use,
5/18/2024 17:07:28,21-23,Male,Undergraduate,2-4 hours,"Instagram, Whatsapp, Snapchat, Youtube",Rarely,6-7 hours,Always,Sometimes,5 (Excellent),4 (Agree),"Loneliness, Low self-esteem",Used apps to limit usage,
5/18/2024 17:09:51,18-20,Male,Undergraduate,2-4 hours,"Instagram, Twitter, Whatsapp, Snapchat, Youtube, LinkedIn",Often,5-6 hours,Always,Sometimes,3 (Average),4 (Agree),"Anxiety, Stress, Loneliness",Not made any changes,
5/18/2024 17:15:22,18-20,Female,Undergraduate,Less than 1 hour,Instagram,Sometimes,6-7 hours,Always,Rarely,4 (Good),2 (Disagree),"Loneliness, Low self-esteem",Avoided social media before bed,Good content 
5/18/2024 19:57:55,18-20,Female,High School,2-4 hours,"Instagram, Youtube",Sometimes,6-7 hours,Sometimes,Sometimes,4 (Good),4 (Agree),"Anxiety, Stress","Reduced overall usage, Set specific times for social media use",I believe false news and graphical content plays a huge role in our minds too other than mindlessly wasting time on social media… it should be monitored better
5/18/2024 20:47:43,21-23,Female,Undergraduate,8 hours or above,Instagram,Rarely,6-7 hours,Always,Rarely,3 (Average),5 (Strongly Agree),"Anxiety, Depression, Stress",Used apps to limit usage,"When my content doesn't hit a certain amount of views or likes, it makes me feel insecure. There is also a lot of negative mental health content on social media which negatively impacts me too "
5/18/2024 21:09:25,18-20,Male,Graduate,2-4 hours,"Instagram, Twitter, Whatsapp, Snapchat, Youtube",Rarely,6-7 hours,Always,Rarely,5 (Excellent),4 (Agree),Stress,Reduced overall usage,
5/18/2024 21:31:12,18-20,Male,Undergraduate,4-6 hours,"Instagram, Snapchat, Youtube, Facebook",Rarely,6-7 hours,Always,Often,4 (Good),4 (Agree),"Anxiety, Stress","Reduced overall usage, Avoided social media before bed, Used apps to limit usage",
5/18/2024 21:42:38,24-26,Female,Postgraduate,1-2 hours,"Instagram, Whatsapp, Youtube, LinkedIn",Sometimes,6-7 hours,Often,Often,3 (Average),4 (Agree),"Anxiety, Depression, Stress, Loneliness, Low self-esteem",Reduced overall usage,Connectivity to others
5/18/2024 21:46:35,18-20,Female,High School,2-4 hours,"Instagram, Youtube, Other (please specify)",Often,6-7 hours,Always,Sometimes,3 (Average),4 (Agree),"Anxiety, Loneliness, Low self-esteem",Not made any changes,
5/18/2024 22:12:41,21-23,Female,Undergraduate,1-2 hours,Instagram,Sometimes,7-8 hours,Always,Sometimes,4 (Good),3 (Neutral),Loneliness,Used apps to limit usage,
